,card_date_week,Title Match,Champion Status,Match Type,Wrestler,Number of Wins,Number of Single Wins,Number of Triple Threat Wins,Number of Fata Fourway Wins,Number of Tag Team Wins,Number of Single Title Wins,Number of Tag Team Title Wins,Number of Single Title Defenses,Number of Tag Team Title Defenses,Royal Rumble Win,Money in the Bank Win,Number of Losses,Number of Single Losses,Number of Triple Threat Losses,Number of Fata Fourway Losses,Number of Tag Team Losses,Number of Single Title Losses,Number of Tag Team Title Losses,Overall Number of Matches,Date_Month,Positive Count,Neutral Count,Negative Count
76,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,2
77,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
78,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
79,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
80,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
81,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
82,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
83,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
84,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
85,2023-03-06,No Title Match,No Title Match,6 Tag Team,Sheamus,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,No Comment,0,0,0
86,2023-03-06,No Title Match,No Title Match,Battle Royal/Andre The Giant Memorial,Ricochet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
87,2023-03-06,No Title Match,No Title Match,Single Match,Asuka,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
88,2023-03-06,No Title Match,No Title Match,Single Match,Asuka,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
89,2023-03-06,No Title Match,No Title Match,Single Match,Asuka,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
90,2023-03-06,No Title Match,No Title Match,Single Match,Becky Lynch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
91,2023-03-06,No Title Match,No Title Match,Single Match,Becky Lynch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
92,2023-03-06,No Title Match,No Title Match,Single Match,Becky Lynch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
93,2023-03-06,No Title Match,No Title Match,Single Match,Becky Lynch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,3,0,0
94,2023-03-06,No Title Match,No Title Match,Single Match,Becky Lynch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
95,2023-03-06,No Title Match,No Title Match,Single Match,Bianca BelAir,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
96,2023-03-06,No Title Match,No Title Match,Single Match,Braun Strowman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,8
97,2023-03-06,No Title Match,No Title Match,Single Match,Braun Strowman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,5,0
98,2023-03-06,No Title Match,No Title Match,Single Match,Braun Strowman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,4,0,0
99,2023-03-06,No Title Match,No Title Match,Single Match,Braun Strowman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,4,0,0
100,2023-03-06,No Title Match,No Title Match,Single Match,Braun Strowman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,4
101,2023-03-06,No Title Match,No Title Match,Single Match,Braun Strowman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,2,0
102,2023-03-06,No Title Match,No Title Match,Single Match,Braun Strowman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
103,2023-03-06,No Title Match,No Title Match,Single Match,Braun Strowman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
104,2023-03-06,No Title Match,No Title Match,Single Match,Braun Strowman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
105,2023-03-06,No Title Match,No Title Match,Single Match,Candice LeRae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
106,2023-03-06,No Title Match,No Title Match,Single Match,Candice LeRae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
107,2023-03-06,No Title Match,No Title Match,Single Match,Carmelo Hayes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No Comment,0,0,0
108,2023-03-06,No Title Match,No Title Match,Single Match,Chad Gable,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,3,0
109,2023-03-06,No Title Match,No Title Match,Single Match,Chad Gable,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
110,2023-03-06,No Title Match,No Title Match,Single Match,Charlotte Flair,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,6
111,2023-03-06,No Title Match,No Title Match,Single Match,Charlotte Flair,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,5,0,0
112,2023-03-06,No Title Match,No Title Match,Single Match,Charlotte Flair,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,5,0,0
113,2023-03-06,No Title Match,No Title Match,Single Match,Charlotte Flair,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,4
114,2023-03-06,No Title Match,No Title Match,Single Match,Charlotte Flair,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,2,0
115,2023-03-06,No Title Match,No Title Match,Single Match,Charlotte Flair,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
116,2023-03-06,No Title Match,No Title Match,Single Match,Charlotte Flair,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
117,2023-03-06,No Title Match,No Title Match,Single Match,Charlotte Flair,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,3,0,0
118,2023-03-06,No Title Match,No Title Match,Single Match,Charlotte Flair,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
119,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,7,0,0
120,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,3,0
121,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,3
122,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
123,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
124,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
125,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
126,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
127,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
128,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
129,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,7,0,0
130,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,4
131,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
132,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
133,2023-03-06,No Title Match,No Title Match,Single Match,Cody Rhodes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
134,2023-03-06,No Title Match,No Title Match,Single Match,Gunther,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
135,2023-03-06,No Title Match,No Title Match,Single Match,Johnny Gargano,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No Comment,0,0,0
136,2023-03-06,No Title Match,No Title Match,Single Match,Kevin Owens,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
137,2023-03-06,No Title Match,No Title Match,Single Match,Kevin Owens,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
138,2023-03-06,No Title Match,No Title Match,Single Match,Liv Morgan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
139,2023-03-06,No Title Match,No Title Match,Single Match,Liv Morgan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
140,2023-03-06,No Title Match,No Title Match,Single Match,Nikki Cross,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,1,0,0
141,2023-03-06,No Title Match,No Title Match,Single Match,Omos,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No Comment,0,0,0
142,2023-03-06,No Title Match,No Title Match,Single Match,Piper Niven,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,1,0,0
143,2023-03-06,No Title Match,No Title Match,Single Match,Piper Niven,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,1,0,0
144,2023-03-06,No Title Match,No Title Match,Single Match,Sami Zayn,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
